lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.71111788292548,-72.60794913248805,1987,2024,RANKIN RD,Local,Local Intersections,1987,1847,2115,2561,2418,3400,2905,3005,3049.0,0.0,1987.0,0.0
41.67765903901641,-72.583996490349,527,2024,OLDE WOOD RD,Local,Local Intersections,527,475,1657,2240,1449,1807,1461,1511,1466.0,0.0,527.0,0.0
41.72072333486,-72.62521769373468,6200,2024,NAUBUC AV,Minor Arterial,Local Intersections,6200,5500,5500,5500,6650,6650,6650,6100,4862.0,0.0,6200.0,0.0
41.71355770123851,-72.60060693709613,376,2024,LINDEN ST,Local,Local Intersections,376,290,410,491,966,1437,1250,1274,1274.0,0.0,376.0,0.0
41.65200423212978,-72.56416524011534,870,2024,CLARK HILL RD,Local,Local Intersections,870,513,1177,1082,1327,1666,1330,1397,1449.0,0.0,870.0,0.0
41.72284027079525,-72.58020663914941,3700,2024,ADDISON RD,Minor Arterial,Local Intersections,3700,3200,3200,3200,3500,3500,3500,3200,4753.0,0.0,3700.0,0.0
41.71138095706214,-72.60587914479743,1987,2024,RANKIN RD,Local,Local Intersections,1987,1847,2115,2561,2418,3400,2905,3005,3049.0,0.0,1987.0,0.0
41.68040663567604,-72.57639606368878,184,2024,WOOD POND RD,Local,Local Intersections,184,164,234,218,514,870,617,549,587.0,0.0,184.0,0.0
41.71438232337709,-72.60549586532166,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,5558.0,0.0,10900.0,0.0
41.71125445091781,-72.60826514995185,6800,2024,MAIN ST,Minor Arterial,Local Intersections,6800,5700,5700,5700,5700,5700,5700,5900,7707.0,0.0,6800.0,0.0
41.7210606456264,-72.62533605972206,7800,2024,NAUBUC AV,Minor Arterial,Local Intersections,7800,7000,7000,7000,8200,8200,8200,7500,5773.0,0.0,7800.0,0.0
41.713605035080064,-72.60028333874288,8100,2024,HEBRON AV,Other Principal Arterial,Local Intersections,8100,5700,5700,5700,6800,6800,6800,7200,13899.0,0.0,8100.0,0.0
41.66259694647724,-72.5424746662985,865,2024,COLDBROOK RD,Local,Local Intersections,865,700,975,935,1318,1542,1299,1401,1425.0,0.0,865.0,0.0
41.723120738888106,-72.58030139693732,3700,2024,ADDISON RD,Minor Arterial,Local Intersections,3700,3200,3200,3200,3500,3500,3500,3200,4753.0,0.0,3700.0,0.0
41.68064686190155,-72.57661745403746,48,2024,COTSWOLD CLOSE,Local,Local Intersections,48,66,21,21,282,264,217,356,334.0,0.0,48.0,0.0
41.72073019112757,-72.62517027812414,8100,2024,GLASTONBURY BLVD,Major Collector,Local Intersections,8100,7800,7800,7800,8900,8900,8900,8800,8192.0,0.0,8100.0,0.0
41.6803087382954,-72.57671794123293,184,2024,WOOD POND RD,Local,Local Intersections,184,164,234,218,514,870,617,549,587.0,0.0,184.0,0.0
41.685489804539394,-72.54667546779542,295,2024,THREE MILE RD,Local,Local Intersections,295,332,697,748,1073,1365,1179,1144,1139.0,0.0,295.0,0.0
41.68534009601013,-72.5468545355541,295,2024,THREE MILE RD,Local,Local Intersections,295,332,697,748,1073,1365,1179,1144,1139.0,0.0,295.0,0.0
41.71130230548295,-72.60613273996712,92,2024,SCHOOL ST,Local,Local Intersections,92,66,153,176,337,549,454,485,483.0,0.0,92.0,0.0
41.71127716927602,-72.60554730457221,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,7920.0,0.0,10900.0,0.0
41.65212398484426,-72.5645009869599,883,2024,MATSON HILL RD,Local,Local Intersections,883,579,1321,1771,1617,1775,1474,1550,1618.0,0.0,883.0,0.0
41.72324760266695,-72.6051316432212,5814,2024,HOUSE ST,Local,Local Intersections,5814,5905,5827,7511,5173,7100,6027,6324,6512.0,0.0,5814.0,0.0
41.7133892969032,-72.60172152744914,8100,2024,HEBRON AV,Other Principal Arterial,Local Intersections,8100,5700,5700,5700,6800,6800,6800,7200,13092.0,0.0,8100.0,0.0
41.68521496079484,-72.54669013603998,182,2024,GRANITE RD,Local,Local Intersections,182,196,481,483,782,927,792,728,731.0,0.0,182.0,0.0
41.722827420896,-72.58034190829675,5394,2024,EASTERN BLVD,Local,Local Intersections,5394,5311,4515,4913,4129,6177,4810,4996,5084.0,0.0,5394.0,0.0
41.712930159282266,-72.60473824527372,8100,2024,HEBRON AV,Other Principal Arterial,Local Intersections,8100,5700,5700,5700,6800,6800,6800,7200,13863.0,0.0,8100.0,0.0
41.67766417590036,-72.58381548073018,3350,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3350,3100,3100,3100,3200,3200,3200,3144,3774.0,0.0,3350.0,0.0
41.71410222933719,-72.60534865246096,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,5558.0,0.0,10900.0,0.0
41.71094890244577,-72.6082057985087,6800,2024,MAIN ST,Minor Arterial,Local Intersections,6800,5700,5700,5700,5700,5700,5700,5900,7527.0,0.0,6800.0,0.0
41.71286705434149,-72.60517043133045,8100,2024,HEBRON AV,Other Principal Arterial,Local Intersections,8100,5700,5700,5700,6800,6800,6800,7200,10366.0,0.0,8100.0,0.0
41.72361581099619,-72.60526797315694,697,2024,HARRIS ST,Local,Local Intersections,697,382,2534,2798,2714,3837,3147,3264,3377.0,0.0,697.0,0.0
41.6624807190601,-72.54190312162392,766,2024,COUNTRY CLUB RD NO 2,Local,Local Intersections,766,603,658,832,1003,1271,1154,1232,1251.0,0.0,766.0,0.0
41.72339555956557,-72.60521520837527,14600,2024,GRISWOLD ST,Minor Arterial,Local Intersections,14600,11200,11200,11200,14500,14500,14500,13100,11824.0,0.0,14600.0,0.0
41.69911990163348,-72.53253016229792,104,2024,FRANCIS DR,Local,Local Intersections,104,80,228,752,448,494,406,422,428.0,0.0,104.0,0.0
41.71144032021879,-72.60552468709491,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,7920.0,0.0,10900.0,0.0
41.71405549819895,-72.60143030651744,5590,2024,HOUSE ST,Local,Local Intersections,5590,5774,5314,6722,4613,6320,5318,5614,5754.0,0.0,5590.0,0.0
41.72340480157836,-72.60510104897907,14600,2024,GRISWOLD ST,Minor Arterial,Local Intersections,14600,11200,11200,11200,14500,14500,14500,13100,11824.0,0.0,14600.0,0.0
41.69905079323648,-72.5322026008159,104,2024,FRANCIS DR,Local,Local Intersections,104,80,228,752,448,494,406,422,428.0,0.0,104.0,0.0
41.71137502309082,-72.60630509804922,1987,2024,RANKIN RD,Local,Local Intersections,1987,1847,2115,2561,2418,3400,2905,3005,3049.0,0.0,1987.0,0.0
41.71414191957648,-72.60569251714412,4069,2024,WELLES ST,Local,Local Intersections,4069,3940,3403,4416,3253,4540,3719,3881,3965.0,0.0,4069.0,0.0
